,n_channels_1,n_channels_2,acc
0,16.0,32.0,0.9902468323707581
1,16.0,64.0,0.9912420511245728
2,16.0,128.0,0.9911425113677979
3,32.0,32.0,0.9904458522796631
4,32.0,64.0,0.9909434914588928
5,32.0,128.0,0.9911425113677979
6,64.0,32.0,0.9887539744377136
7,64.0,64.0,0.9923368096351624
8,64.0,128.0,0.9903463125228882
