,n_channels_1,n_fully_connected,acc
0,16.0,64.0,0.9886544346809387
1,16.0,128.0,0.9866639971733093
2,16.0,256.0,0.9863654375076294
3,32.0,64.0,0.9862658977508545
4,32.0,128.0,0.9862658977508545
5,32.0,256.0,0.9877587556838989
6,64.0,64.0,0.9877587556838989
7,64.0,128.0,0.987261176109314
8,64.0,256.0,0.9852706789970398
