,n_channels_1,n_channels_2,n_channels_3,n_fc_1,n_fc_2,acc
118,32.0,32.0,32.0,64.0,128.0,0.9871616363525391
119,32.0,32.0,32.0,64.0,256.0,0.9903463125228882
120,32.0,32.0,32.0,128.0,64.0,0.9913415312767029
121,32.0,32.0,32.0,128.0,128.0,0.990545392036438
122,32.0,32.0,32.0,128.0,256.0,0.9913415312767029
123,32.0,32.0,32.0,256.0,64.0,0.9904458522796631
124,32.0,32.0,32.0,256.0,128.0,0.9906449317932129
125,32.0,32.0,32.0,256.0,256.0,0.9932324886322021
126,32.0,32.0,64.0,64.0,64.0,0.9923368096351624
127,32.0,32.0,64.0,64.0,128.0,0.9892516136169434
128,32.0,32.0,64.0,64.0,256.0,0.9915406107902527
129,32.0,32.0,64.0,128.0,64.0,0.9896496534347534
130,32.0,32.0,64.0,128.0,128.0,0.9882563948631287
131,32.0,32.0,64.0,128.0,256.0,0.9926353693008423
132,32.0,32.0,64.0,256.0,64.0,0.9921377301216125
133,32.0,32.0,64.0,256.0,128.0,0.9899482727050781
134,32.0,32.0,64.0,256.0,256.0,0.9893510937690735
135,32.0,64.0,16.0,64.0,64.0,0.990545392036438
136,32.0,64.0,16.0,64.0,128.0,0.9851711988449097
137,32.0,64.0,16.0,64.0,256.0,0.9864649772644043
138,32.0,64.0,16.0,128.0,64.0,0.9880573153495789
139,32.0,64.0,16.0,128.0,128.0,0.9892516136169434
140,32.0,64.0,16.0,128.0,256.0,0.9891520738601685
141,32.0,64.0,16.0,256.0,64.0,0.9928343892097473
142,32.0,64.0,16.0,256.0,128.0,0.9902468323707581
143,32.0,64.0,16.0,256.0,256.0,0.9922372698783875
144,32.0,64.0,32.0,64.0,64.0,0.9912420511245728
145,32.0,64.0,32.0,64.0,128.0,0.9914410710334778
146,32.0,64.0,32.0,64.0,256.0,0.9897491931915283
147,32.0,64.0,32.0,128.0,64.0,0.9926353693008423
148,32.0,64.0,32.0,128.0,128.0,0.9923368096351624
149,32.0,64.0,32.0,128.0,256.0,0.9909434914588928
150,32.0,64.0,32.0,256.0,64.0,0.9896496534347534
151,32.0,64.0,32.0,256.0,128.0,0.9923368096351624
152,32.0,64.0,32.0,256.0,256.0,0.9922372698783875
153,32.0,64.0,64.0,64.0,64.0,0.9875597357749939
154,32.0,64.0,64.0,64.0,128.0,0.9882563948631287
155,32.0,64.0,64.0,64.0,256.0,0.9903463125228882
156,32.0,64.0,64.0,128.0,64.0,0.9889530539512634
157,32.0,64.0,64.0,128.0,128.0,0.9911425113677979
158,32.0,64.0,64.0,128.0,256.0,0.9883558750152588
159,32.0,64.0,64.0,256.0,64.0,0.9925358295440674
160,32.0,64.0,64.0,256.0,128.0,0.9914410710334778
161,32.0,64.0,64.0,256.0,256.0,0.9909434914588928
162,64.0,16.0,16.0,64.0,64.0,0.9883558750152588
163,64.0,16.0,16.0,64.0,128.0,0.9914410710334778
164,64.0,16.0,16.0,64.0,256.0,0.9909434914588928
165,64.0,16.0,16.0,128.0,64.0,0.9891520738601685
166,64.0,16.0,16.0,128.0,128.0,0.9860668778419495
167,64.0,16.0,16.0,128.0,256.0,0.9887539744377136
168,64.0,16.0,16.0,256.0,64.0,0.987261176109314
169,64.0,16.0,16.0,256.0,128.0,0.9864649772644043
170,64.0,16.0,16.0,256.0,256.0,0.9885549545288086
171,64.0,16.0,32.0,64.0,64.0,0.9888535141944885
172,64.0,16.0,32.0,64.0,128.0,0.9889530539512634
173,64.0,16.0,32.0,64.0,256.0,0.9903463125228882
174,64.0,16.0,32.0,128.0,64.0,0.9878582954406738
175,64.0,16.0,32.0,128.0,128.0,0.9900477528572083
176,64.0,16.0,32.0,128.0,256.0,0.9914410710334778
177,64.0,16.0,32.0,256.0,64.0,0.9920381903648376
178,64.0,16.0,32.0,256.0,128.0,0.9901472926139832
179,64.0,16.0,32.0,256.0,256.0,0.991042971611023
180,64.0,16.0,64.0,64.0,64.0,0.9884554147720337
181,64.0,16.0,64.0,64.0,128.0,0.9869625568389893
182,64.0,16.0,64.0,64.0,256.0,0.9926353693008423
183,64.0,16.0,64.0,128.0,64.0,0.9920381903648376
184,64.0,16.0,64.0,128.0,128.0,0.9893510937690735
185,64.0,16.0,64.0,128.0,256.0,0.9912420511245728
186,64.0,16.0,64.0,256.0,64.0,0.9921377301216125
187,64.0,16.0,64.0,256.0,128.0,0.9894506335258484
188,64.0,16.0,64.0,256.0,256.0,0.9903463125228882
189,64.0,32.0,16.0,64.0,64.0,0.9885549545288086
190,64.0,32.0,16.0,64.0,128.0,0.9903463125228882
191,64.0,32.0,16.0,64.0,256.0,0.9886544346809387
192,64.0,32.0,16.0,128.0,64.0,0.9887539744377136
193,64.0,32.0,16.0,128.0,128.0,0.9903463125228882
194,64.0,32.0,16.0,128.0,256.0,0.9901472926139832
195,64.0,32.0,16.0,256.0,64.0,0.9896496534347534
196,64.0,32.0,16.0,256.0,128.0,0.9914410710334778
197,64.0,32.0,16.0,256.0,256.0,0.9862658977508545
198,64.0,32.0,32.0,64.0,64.0,0.9899482727050781
199,64.0,32.0,32.0,64.0,128.0,0.9909434914588928
200,64.0,32.0,32.0,64.0,256.0,0.9887539744377136
201,64.0,32.0,32.0,128.0,64.0,0.9913415312767029
202,64.0,32.0,32.0,128.0,128.0,0.9920381903648376
203,64.0,32.0,32.0,128.0,256.0,0.9893510937690735
204,64.0,32.0,32.0,256.0,64.0,0.9903463125228882
205,64.0,32.0,32.0,256.0,128.0,0.9914410710334778
206,64.0,32.0,32.0,256.0,256.0,0.9901472926139832
207,64.0,32.0,64.0,64.0,64.0,0.9923368096351624
208,64.0,32.0,64.0,64.0,128.0,0.9915406107902527
209,64.0,32.0,64.0,64.0,256.0,0.9926353693008423
210,64.0,32.0,64.0,128.0,64.0,0.9906449317932129
211,64.0,32.0,64.0,128.0,128.0,0.9868630766868591
212,64.0,32.0,64.0,128.0,256.0,0.990744411945343
213,64.0,32.0,64.0,256.0,64.0,0.9894506335258484
214,64.0,32.0,64.0,256.0,128.0,0.9908439517021179
215,64.0,32.0,64.0,256.0,256.0,0.9895501732826233
216,64.0,64.0,16.0,64.0,64.0,0.991042971611023
217,64.0,64.0,16.0,64.0,128.0,0.9794983863830566
218,64.0,64.0,16.0,64.0,256.0,0.9893510937690735
219,64.0,64.0,16.0,128.0,64.0,0.9887539744377136
220,64.0,64.0,16.0,128.0,128.0,0.9921377301216125
221,64.0,64.0,16.0,128.0,256.0,0.9912420511245728
222,64.0,64.0,16.0,256.0,64.0,0.990545392036438
223,64.0,64.0,16.0,256.0,128.0,0.9911425113677979
224,64.0,64.0,16.0,256.0,256.0,0.9900477528572083
225,64.0,64.0,32.0,64.0,64.0,0.9914410710334778
226,64.0,64.0,32.0,64.0,128.0,0.991042971611023
227,64.0,64.0,32.0,64.0,256.0,0.9827826619148254
228,64.0,64.0,32.0,128.0,64.0,0.9923368096351624
229,64.0,64.0,32.0,128.0,128.0,0.9885549545288086
230,64.0,64.0,32.0,128.0,256.0,0.9902468323707581
231,64.0,64.0,32.0,256.0,64.0,0.9913415312767029
232,64.0,64.0,32.0,256.0,128.0,0.9925358295440674
233,64.0,64.0,32.0,256.0,256.0,0.9917396306991577
234,64.0,64.0,64.0,64.0,64.0,0.9917396306991577
235,64.0,64.0,64.0,64.0,128.0,0.9906449317932129
236,64.0,64.0,64.0,64.0,256.0,0.9895501732826233
237,64.0,64.0,64.0,128.0,64.0,0.9913415312767029
238,64.0,64.0,64.0,128.0,128.0,0.9895501732826233
239,64.0,64.0,64.0,128.0,256.0,0.9901472926139832
240,64.0,64.0,64.0,256.0,64.0,0.9916401505470276
241,64.0,64.0,64.0,256.0,128.0,0.9894506335258484
242,64.0,64.0,64.0,256.0,256.0,0.9901472926139832
